logRenyiAlpha,probTest,decoy_1
-5,0.0119140625,0.9125
-5,0.02021484375,0.85
-4.25,0.04755859375,0.85
-4.125,0.0626953125,0.85
-4.125,0.0607421875,0.7875
-4,0.06171875,0.7875
-4,0.0607421875,0.75625
-4,0.059765625,0.725
-4,0.06025390625,0.725
-4,0.05927734375,0.6625
-4,0.0607421875,0.6625
-4,0.0578125,0.6
-4,0.055859375,0.6
-3.93125,0.05546875,0.53125
-4,0.0470703125,0.475
-4,0.046875,0.496875
-3.5,0.082685546875,0.5
-3.45,0.085986328125,0.5
-2.9,0.140234375,0.5
-2.9,0.14140625,0.49140625
-2.35,0.145703125,0.35390625
-1.0875,0.127978515625,0.35
-1,0.15,0.29892578125
-0.725,0.14248046875,0.3
0,0,0
0,0,0
