logRenyiAlpha,probTest,decoy_1
-5,0.01484375,0.9125
-5,0.01923828125,0.88125
-4.5,0.028515625,0.85
-4.5,0.02607421875,0.85
-4.5,0.02705078125,0.85
-4.25,0.0431640625,0.834375
-4.25,0.03046875,0.7875
-4,0.044140625,0.7875
-4,0.0421875,0.725
-4,0.048046875,0.725
-4,0.0412109375,0.63125
-4,0.0353515625,0.6
-4,0.036328125,0.6
-3.5,0.075390625,0.6
-3,0.0880859375,0.725
-3.875,0.0353515625,0.6
-3,0.10078125,0.6
-3,0.0990625,0.58125
-3,0.1,0.54375
-2.9375,0.09609375,0.503125
-2.5,0.1548828125,0.5171875
-2.5,0.1234765625,0.4828125
0,0,0
0,0,0
0,0,0
0,0,0
