etadB,keyRateEUR
-0,0.0875889914331706
2,0.046511332006834
4,0.0275503289289949
6,0.0171047384941092
8,0.0106209813238796
10,0.00643041508225713
12,0.00371869413458001
14,0.0020107951284361
16,0.000920529697950711
18,0.000231185933889992
20,-3.51620702121619e-05
22,-2.22621294539251e-05
24,-1.50483888053063e-05
26,-1.02970386612814e-05
28,-7.13128052917389e-06
30,-5.02089753752351e-06
32,-3.55802338788905e-06
34,-2.59856149832036e-06
36,-1.87749343360262e-06
38,-1.38090659569854e-06
40,-1.03848186003273e-06
