etadB,keyRatePS
0,0.565132939244247
2,0.334182722472323
4,0.198167522540205
6,0.118576495803276
8,0.0721941547113007
10,0.0431225030900604
12,0.0255443207018315
14,0.0151105300390072
16,0.0088552605751603
18,0.0051368436818377
20,0.00297222363415014
22,0.00167508628401444
24,0.000942378437615096
26,0.000516995305843473
28,0.000275548015359106
30,0.000142634813248331
32,6.92269118334155e-05
34,3.04022999123279e-05
36,1.0524255863525e-05
38,1.63413177969198e-06
40,-2.04620071672818e-06
42,-1.89658134446126e-06
44,-1.61854754207812e-06
46,-1.22513159546556e-06
48,-1.17591812121558e-06
50,-1.09009366204683e-06
